Departure station;Longitude;Lattitude
AIX EN PROVENCE TGV;5.317306755615249;43.455236570556686
ANGERS SAINT LAUD;-0.556795220842896;47.46436992000471
ANGOULEME;0.133842881541191;45.64063431669944
ANNECY;6.121832970715078;45.90221094284461
ARRAS;2.769175849883367;50.279846846828335
AVIGNON TGV;4.785988680479314;43.92185220386844
BARCELONA;2.1862337;41.3836593
BELLEGARDE (AIN);5.824669822906646;46.113539173233306
BESANCON FRANCHE COMTE TGV;6.025165630001133;47.24926425921712
BORDEAUX ST JEAN;-0.555977516187792;44.82592310199666
BREST;-4.479243011743669;48.3879297952412
CHAMBERY CHALLES LES EAUX;5.919644744721905;45.57190136351876
DIJON VILLE;5.027142558968659;47.32301605786211
DOUAI;3.105729287582806;50.3580899795919
DUNKERQUE;2.364678910284624;51.034645417513985
FRANCFORT;8.6561638;50.1029048
GENEVE;6.1408256;46.2105567
GRENOBLE;5.718515336422927;45.182109650519095
ITALIE;9.2049452;45.4867321
LA ROCHELLE VILLE;-1.145160124084131;46.15251607781638
LAUSANNE;6.6257833;46.5231615
LAVAL;-0.760858912745977;48.07634359710921
LE CREUSOT MONTCEAU MONTCHANIN;4.500649606600159;46.765334538282744
LE MANS;0.19373767827699;47.99496278334028
LILLE;3.075358680700009;50.63937158035179
LYON PART DIEU;4.860200803130667;45.76054053999095
MACON LOCHE;4.824546353595596;46.302759062194916
MADRID;-3.6892052;40.4043688
MARNE LA VALLEE;2.782675554747207;48.869909064290724
MARSEILLE ST CHARLES;5.380843379830792;43.3032831626636
METZ;6.177442838036328;49.10898911419044
MONTPELLIER;3.882757509959065;43.606091075648855
MULHOUSE VILLE;7.343678088066524;47.74235758221867
NANCY;6.174101796891322;48.689702404399846
NANTES;-1.544074936864095;47.21656946799687
NICE VILLE;7.263747090810244;43.7056827309681
NIMES;4.327963542425942;43.81354643785989
PARIS EST;2.358926108129062;48.87737087354009
PARIS LYON;2.375645285904874;48.84431152436104
PARIS MONTPARNASSE;2.319820501512475;48.84064284370186
PARIS NORD;2.356160022572003;48.88164194198079
PARIS VAUGIRARD;2.316170554884684;48.83753005935873
PERPIGNAN;2.879350450581682;42.69621526112407
POITIERS;0.357769246636279;46.63086243057787
QUIMPER;-4.092232861763613;47.9948237414113
REIMS;4.023685509962517;49.2586711881528
RENNES;-1.691801073204263;48.11826355636143
SAINT ETIENNE CHATEAUCREUX;4.399559786053118;45.44356445940451
ST MALO;-2.004051313466777;48.6465302973296
ST PIERRE DES CORPS;0.77992017283015;47.390314794202645
STRASBOURG;7.734259299051056;48.58506336156198
STUTTGART;9.1821302;48.7831082
TOULON;5.929717733657508;43.12858683541123
TOULOUSE MATABIAU;1.452621936001714;43.61661142649595
TOURCOING;3.168343953703257;50.71667041877195
TOURS;0.694722170814589;47.38823086739208
VALENCE ALIXAN TGV;4.978736879911614;44.991448081268494
VANNES;-2.752403881216251;47.66520979265519
ZURICH;8.5401307;47.3778765
